,month,CounterID_ASTA,latlong,Visits,lat,long
0,1,149,"(60.30899379656252, 24.513516131752663)",2996,60.30899379656252,24.513516131752663
1,1,912,"(60.326924542956334, 24.495358359272675)",1153,60.326924542956334,24.495358359272675
2,1,922,"(60.33073081360451, 24.492838046488888)",336,60.33073081360451,24.492838046488888
3,1,1043,"(60.303525451006834, 24.550391008969527)",417,60.303525451006834,24.550391008969527
4,1,1050,"(60.27581963490531, 24.463689284278516)",379,60.27581963490531,24.463689284278516
5,2,149,"(60.30899379656252, 24.513516131752663)",5229,60.30899379656252,24.513516131752663
6,2,912,"(60.326924542956334, 24.495358359272675)",1440,60.326924542956334,24.495358359272675
7,2,922,"(60.33073081360451, 24.492838046488888)",408,60.33073081360451,24.492838046488888
8,2,1043,"(60.303525451006834, 24.550391008969527)",463,60.303525451006834,24.550391008969527
9,2,1050,"(60.27581963490531, 24.463689284278516)",511,60.27581963490531,24.463689284278516
10,2,1122,"(60.24969716104745, 24.698307563459544)",128,60.24969716104745,24.698307563459544
11,3,149,"(60.30899379656252, 24.513516131752663)",9030,60.30899379656252,24.513516131752663
12,3,871,"(60.31295694299057, 24.447281862291263)",354,60.31295694299057,24.447281862291263
13,3,912,"(60.326924542956334, 24.495358359272675)",35,60.326924542956334,24.495358359272675
14,3,922,"(60.33073081360451, 24.492838046488888)",610,60.33073081360451,24.492838046488888
15,3,1043,"(60.303525451006834, 24.550391008969527)",610,60.303525451006834,24.550391008969527
16,3,1050,"(60.27581963490531, 24.463689284278516)",573,60.27581963490531,24.463689284278516
17,3,1122,"(60.24969716104745, 24.698307563459544)",642,60.24969716104745,24.698307563459544
18,4,149,"(60.30899379656252, 24.513516131752663)",8421,60.30899379656252,24.513516131752663
19,4,871,"(60.31295694299057, 24.447281862291263)",511,60.31295694299057,24.447281862291263
20,4,922,"(60.33073081360451, 24.492838046488888)",1127,60.33073081360451,24.492838046488888
21,4,1043,"(60.303525451006834, 24.550391008969527)",1648,60.303525451006834,24.550391008969527
22,4,1050,"(60.27581963490531, 24.463689284278516)",721,60.27581963490531,24.463689284278516
23,4,1122,"(60.24969716104745, 24.698307563459544)",795,60.24969716104745,24.698307563459544
24,5,149,"(60.30899379656252, 24.513516131752663)",13207,60.30899379656252,24.513516131752663
25,5,871,"(60.31295694299057, 24.447281862291263)",599,60.31295694299057,24.447281862291263
26,5,912,"(60.326924542956334, 24.495358359272675)",927,60.326924542956334,24.495358359272675
27,5,922,"(60.33073081360451, 24.492838046488888)",1554,60.33073081360451,24.492838046488888
28,5,1043,"(60.303525451006834, 24.550391008969527)",2259,60.303525451006834,24.550391008969527
29,5,1050,"(60.27581963490531, 24.463689284278516)",1065,60.27581963490531,24.463689284278516
30,5,1122,"(60.24969716104745, 24.698307563459544)",1126,60.24969716104745,24.698307563459544
31,6,149,"(60.30899379656252, 24.513516131752663)",12873,60.30899379656252,24.513516131752663
32,6,871,"(60.31295694299057, 24.447281862291263)",503,60.31295694299057,24.447281862291263
33,6,912,"(60.326924542956334, 24.495358359272675)",2211,60.326924542956334,24.495358359272675
34,6,922,"(60.33073081360451, 24.492838046488888)",1118,60.33073081360451,24.492838046488888
35,6,1043,"(60.303525451006834, 24.550391008969527)",2214,60.303525451006834,24.550391008969527
36,6,1050,"(60.27581963490531, 24.463689284278516)",872,60.27581963490531,24.463689284278516
37,6,1122,"(60.24969716104745, 24.698307563459544)",669,60.24969716104745,24.698307563459544
38,7,149,"(60.30899379656252, 24.513516131752663)",18087,60.30899379656252,24.513516131752663
39,7,871,"(60.31295694299057, 24.447281862291263)",1341,60.31295694299057,24.447281862291263
40,7,912,"(60.326924542956334, 24.495358359272675)",2731,60.326924542956334,24.495358359272675
41,7,1043,"(60.303525451006834, 24.550391008969527)",2199,60.303525451006834,24.550391008969527
42,7,1050,"(60.27581963490531, 24.463689284278516)",1044,60.27581963490531,24.463689284278516
43,7,1122,"(60.24969716104745, 24.698307563459544)",832,60.24969716104745,24.698307563459544
44,8,149,"(60.30899379656252, 24.513516131752663)",18461,60.30899379656252,24.513516131752663
45,8,871,"(60.31295694299057, 24.447281862291263)",630,60.31295694299057,24.447281862291263
46,8,912,"(60.326924542956334, 24.495358359272675)",3030,60.326924542956334,24.495358359272675
47,8,1043,"(60.303525451006834, 24.550391008969527)",2460,60.303525451006834,24.550391008969527
48,8,1050,"(60.27581963490531, 24.463689284278516)",1662,60.27581963490531,24.463689284278516
49,8,1122,"(60.24969716104745, 24.698307563459544)",521,60.24969716104745,24.698307563459544
50,9,149,"(60.30899379656252, 24.513516131752663)",15184,60.30899379656252,24.513516131752663
51,9,871,"(60.31295694299057, 24.447281862291263)",857,60.31295694299057,24.447281862291263
52,9,912,"(60.326924542956334, 24.495358359272675)",3744,60.326924542956334,24.495358359272675
53,9,922,"(60.33073081360451, 24.492838046488888)",332,60.33073081360451,24.492838046488888
54,9,1043,"(60.303525451006834, 24.550391008969527)",3026,60.303525451006834,24.550391008969527
55,9,1050,"(60.27581963490531, 24.463689284278516)",1221,60.27581963490531,24.463689284278516
56,9,1122,"(60.24969716104745, 24.698307563459544)",646,60.24969716104745,24.698307563459544
57,10,149,"(60.30899379656252, 24.513516131752663)",19183,60.30899379656252,24.513516131752663
58,10,871,"(60.31295694299057, 24.447281862291263)",1108,60.31295694299057,24.447281862291263
59,10,912,"(60.326924542956334, 24.495358359272675)",7718,60.326924542956334,24.495358359272675
60,10,922,"(60.33073081360451, 24.492838046488888)",847,60.33073081360451,24.492838046488888
61,10,1043,"(60.303525451006834, 24.550391008969527)",2769,60.303525451006834,24.550391008969527
62,10,1050,"(60.27581963490531, 24.463689284278516)",1104,60.27581963490531,24.463689284278516
63,10,1122,"(60.24969716104745, 24.698307563459544)",1016,60.24969716104745,24.698307563459544
64,11,149,"(60.30899379656252, 24.513516131752663)",547,60.30899379656252,24.513516131752663
65,11,871,"(60.31295694299057, 24.447281862291263)",350,60.31295694299057,24.447281862291263
66,11,912,"(60.326924542956334, 24.495358359272675)",2666,60.326924542956334,24.495358359272675
67,11,922,"(60.33073081360451, 24.492838046488888)",314,60.33073081360451,24.492838046488888
68,11,1043,"(60.303525451006834, 24.550391008969527)",869,60.303525451006834,24.550391008969527
69,11,1050,"(60.27581963490531, 24.463689284278516)",603,60.27581963490531,24.463689284278516
70,11,1122,"(60.24969716104745, 24.698307563459544)",593,60.24969716104745,24.698307563459544
71,12,149,"(60.30899379656252, 24.513516131752663)",5765,60.30899379656252,24.513516131752663
72,12,871,"(60.31295694299057, 24.447281862291263)",639,60.31295694299057,24.447281862291263
